ID,DendrometerID,TagID,Latitude,Longitude,StemCount,StemNumber,BasalDiameter,CanopyBearing,CanopyHeight,CanopyDiameter,Comments
6,,,,,,,,NE,4.8,4.94,
6,,,,,,,,SW,4.3,,
6,,,,,,,,E,3.7,3.92,
6,,,,,,,,W,4.2,,
6,,,,,,,,SE,4.4,5.47,
6,,,,,,,,NW,4.5,,
7,1,2994,31.821478,110.866087,2,1,28.8,N,5.2,4.36,ref dist 3m
7,,,,,,2,41,S,5.5,,
7,,,,,,,,NE,5.5,5.27,
7,,,,,,,,SW,5.1,,
7,,,,,,,,E,6.5,4.46,
7,,,,,,,,W,5.1,,
7,,,,,,,,SE,5.6,4.45,
7,,,,,,,,NW,5.1,,
8,,,31.821493,110.865876,1,1,6.6,N,1.8,1.9,ref dist 2m
8,,,,,,,,S,2,,
8,,,,,,,,NE,1.8,1.81,
8,,,,,,,,SW,1.9,,
8,,,,,,,,E,1.7,2.08,
8,,,,,,,,W,2,,
8,,,,,,,,SE,1.8,1.68,
8,,,,,,,,NW,1.9,,
9,4,2993,31.821066,110.865920,1,1,46.4,N,3.6,4.68,ref dist 6m
9,,,,,,,,S,4.6,,
9,,,,,,,,NE,3.8,3.62,
9,,,,,,,,SW,4,,
9,,,,,,,,E,3.7,3.25,
9,,,,,,,,W,4,,
9,,,,,,,,SE,4.5,4.88,
9,,,,,,,,NW,3.5,,
10,3,2992,31.821107,110.866030,1,1,31.7,N,4.7,3.13,ref dist 5m
10,,,,,,,,S,4.6,,
10,,,,,,,,NE,4.6,5.86,
10,,,,,,,,SW,4.1,,
10,,,,,,,,E,5.2,6.14,
10,,,,,,,,W,3.9,,
10,,,,,,,,SE,4.6,6.16,
10,,,,,,,,NW,4.2,,
11,,,31.821057,110.866073,2,1,21,N,3.5,3.82,ref dist 5m
11,,,,,,2,18.7,S,3.7,,
11,,,,,,,,NE,4.4,4.73,
11,,,,,,,,SW,3.5,,
11,,,,,,,,E,3.7,3.79,
11,,,,,,,,W,3.4,,
11,,,,,,,,SE,3.4,3.67,
11,,,,,,,,NW,3.6,,
12,5,2990,31.821222,110.865964,3,1,16.4,N,4.2,3.34,ref dist 5m
12,,,,,,2,14,S,3.8,,
12,,,,,,3,16.7,NE,4,3.36,
12,,,,,,,,SW,4,,
12,,,,,,,,E,4.2,3.25,
12,,,,,,,,W,3.6,,
12,,,,,,,,SE,3.8,4.85,
12,,,,,,,,NW,3.6,,
13,6,2989,31.821336,110.865872,1,1,42.4,N,5,7.27,ref dist 5m
13,,,,,,,,S,6.6,,
13,,,,,,,,NE,5.1,5.14,
13,,,,,,,,SW,5.3,,
13,,,,,,,,E,4.5,3.19,
13,,,,,,,,W,5.1,,
13,,,,,,,,SE,5.1,6.82,
13,,,,,,,,NW,5.4,,
14,,,31.821335,110.866022,5,1,5.3,N,1.8,3.18,ref dist 3m
14,,,,,,2,3.2,S,2,,
14,,,,,,3,1.1,NE,1.8,2.24,
14,,,,,,4,2.7,SW,1.9,,
14,,,,,,5,6,E,1.8,2.56,
14,,,,,,,,W,1.9,,
14,,,,,,,,SE,2,3.02,
14,,,,,,,,NW,1.8,,
15,,,31.821260,110.866218,2,1,6,N,1.7,1.97,ref dist 3m
15,,,,,,2,6.5,S,1.7,,
15,,,,,,,,NE,1.7,1.95,
15,,,,,,,,SW,1.7,,
15,,,,,,,,E,1.7,2.27,
15,,,,,,,,W,1.7,,
15,,,,,,,,SE,1.7,2.1,
15,,,,,,,,NW,1.7,,
16,,2988,31.322039,110.866253,2,1,30.3,N,5.2,5.95,ref dist 5m
16,,,,,,2,20.2,S,5.5,,
16,,,,,,,,NE,5.3,6.49,
16,,,,,,,,SW,4.6,,
16,,,,,,,,E,5.6,6.09,
16,,,,,,,,W,5.4,,
16,,,,,,,,SE,4.8,7.52,
16,,,,,,,,NW,5.8,,
