TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200411,11.955,1.0,251.185,152.686,1.0,287.515,1.0,8.968,1.0,89.013,1.0,0.237,1.0,2.514,0.986806,0.37696331413730805,0.9868055555555555,39.026744444444454,1.0,304.1607514583333,1.0,31.93779166666667,1.0,26.445775694444443,1.0,373.4554861111111,1.0,379.083,1.0,14.934,15.229,15.811,17.387,17.682,18.852,20.657,20.966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.012,4.852,7.27,5.865,6.298,5.231,4.881,4.392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6.41365,1.0,14.2736,0.999306,13.8233,0.29179,32.594,0.999306,31.5656,0.565472,-0.177459,0.96875,0.0131548,-0.225009,-0.182425,-0.167196,0.986111,0.973611,0.964583,0.453014,0.390553,0.448647,0.472018,0.632131,0.61334,0.621908,0.633143,0.387165,0.358636,0.417199,0.451993,0.590151,0.604964,0.619506,0.655864,-9999,-9999
200412,10.78,1.0,219.746,138.301,1.0,277.724,1.0,8.527,1.0,89.132,1.0,0.557,0.999328,2.562,0.999328,0.3882782544040266,0.9993279569892473,28.395045026881714,1.0,275.91899704301073,1.0,29.510739919354833,1.0,23.71403830645161,1.0,362.6670026881722,1.0,381.748,1.0,11.785,11.833,12.19,13.291,13.509,14.52,16.331,16.496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.656,5.717,7.867,5.914,6.322,5.257,4.907,4.437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.11507,1.0,14.088,1.0,13.9165,0.326567,21.0581,1.0,20.8019,0.557088,-0.0479411,0.972446,0.0090864,-0.0656352,-0.056835,-0.048707,0.991935,0.910618,0.943548,0.278588,0.256604,0.276694,0.329212,0.339465,0.319647,0.334833,0.371665,0.203108,0.209076,0.279834,0.378082,0.297906,0.310641,0.362477,0.424912,-9999,-9999
200501,11.379,1.0,236.319,138.589,1.0,292.934,1.0,7.799,1.0,89.121,1.0,1.114,1.0,2.378,1.0,0.3439770833333333,1.0,40.27685416666666,1.0,278.1521654569893,1.0,29.53862768817205,1.0,22.69681518817205,1.0,367.491061827957,1.0,383.256,1.0,12.213,12.221,12.474,13.142,13.255,13.869,15.036,15.055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.891,7.04,9.053,6.225,6.366,5.29,4.926,4.448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.00991,1.0,19.5352,1.0,19.6761,0.373095,23.4415,1.0,23.6107,0.621898,0.0616113,0.965726,0.00889154,0.0355609,0.0471347,0.056458,0.984543,0.971102,0.965726,0.262655,0.236565,0.252829,0.274443,0.211438,0.195258,0.211187,0.220094,0.244951,0.204382,0.232132,0.321511,0.240914,0.222248,0.240914,0.267121,-9999,-9999
200502,11.32,1.0,291.755,158.677,1.0,303.331,1.0,5.979,1.0,88.942,1.0,0.689,1.0,2.613,0.999256,0.39937150139311045,0.9992559523809523,62.72631473214285,1.0,317.7002080357143,1.0,33.72253571428571,1.0,25.047821428571435,1.0,373.2993303571429,1.0,381.053,1.0,13.76,13.88,13.877,14.115,14.103,14.429,15.163,15.195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.3,6.203,8.054,6.281,6.433,5.334,4.948,4.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.620821,1.0,19.2468,1.0,20.5077,0.486318,40.2056,1.0,42.8395,0.569002,0.156604,0.97619,0.00968557,0.147663,0.149999,0.157246,0.986607,0.979167,0.970982,0.29295,0.295875,0.300139,0.317936,0.143116,0.14535,0.150575,0.162058,0.219554,0.217121,0.258864,0.279551,0.121912,0.138439,0.158245,0.174384,-9999,-9999
200503,13.761,1.0,362.473,246.405,1.0,290.518,1.0,11.195,1.0,88.86,1.0,0.213,1.0,2.59,1.0,0.34307909946236553,1.0,102.37850806451611,1.0,482.1530454301075,1.0,51.454936155913984,1.0,38.63604301075269,1.0,394.6726478494623,1.0,380.764,0.999328,18.513,18.761,18.347,17.948,17.613,17.327,17.161,17.103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.895,3.686,6.868,6.274,6.526,5.383,4.966,4.438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.27711,1.0,13.4465,0.998656,14.2204,0.305969,80.0563,1.0,84.6642,0.648567,-0.040006,0.977151,0.00749144,-0.036999,-0.0346278,-0.0280241,0.992608,0.985215,0.984543,0.163263,0.161187,0.176396,0.206678,0.19841,0.197521,0.209979,0.234702,0.208233,0.206573,0.233384,0.261611,0.229824,0.235044,0.249677,0.291847,-9999,-9999
200504,18.814,1.0,425.782,311.633,1.0,299.414,1.0,19.189,1.0,88.789,1.0,0.127,1.0,3.126,1.0,0.4176982638888889,1.0,130.3634340277778,1.0,602.5398913194443,1.0,68.80765555555556,1.0,49.10908055555556,1.0,430.20812500000005,1.0,379.251,1.0,24.325,24.326,23.468,22.55,22.047,21.348,20.421,20.372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.605,2.008,4.851,6.078,6.52,5.385,4.975,4.416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.22944,1.0,9.02314,1.0,9.82263,0.224002,105.007,1.0,114.311,0.670787,0.290544,0.969444,0.00881144,0.296525,0.30632,0.317244,0.965278,0.936806,0.992361,0.337029,0.316378,0.333405,0.351003,0.0390267,-0.00186539,0.0356258,0.0520787,0.29518,0.275425,0.39144,0.470527,0.0544094,0.026839,0.0978809,0.182345,-9999,-9999
200505,23.812,1.0,465.803,326.041,1.0,335.372,1.0,25.267,1.0,88.671,1.0,0.311,1.0,2.522,0.997984,0.36230805562601326,0.9979838709677419,144.78607682738505,0.9993279569892473,632.1024565188171,1.0,70.73822580645161,1.0,51.226852493708535,0.9993279569892473,463.6294998284145,0.9993279569892473,381.104,1.0,29.522,29.298,28.279,26.844,26.228,25.213,23.767,23.773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.572,2.086,4.182,5.837,6.358,5.31,4.968,4.391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.66989,1.0,15.7865,0.999328,17.1361,0.26328,110.654,1.0,120.114,0.667847,0.402178,0.971774,0.00962702,0.381269,0.402178,0.412774,0.983871,0.971774,0.977151,0.630412,0.563522,0.626076,0.680689,0.217639,0.176854,0.213139,0.275476,0.6048,0.563761,0.613327,0.641992,0.286436,0.29011,0.306752,0.337201,-9999,-9999
200506,28.231,0.998611,480.907,344.796,0.998611,354.977,0.998611,33.741,0.998611,88.553,0.997222,0.025,1.0,2.69,0.997222,0.37077579545454553,0.9972222222222222,151.05502133838385,0.9972222222222222,661.3479221969698,0.9972222222222222,72.1952452651515,0.9972222222222222,54.33083390151515,0.9972222222222222,492.50168560606056,0.9972222222222222,373.256,0.998611,33.783,33.551,32.423,30.868,30.294,29.126,27.357,27.482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.191,1.803,4.621,5.889,6.275,5.283,4.953,4.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.84143,1.0,16.1546,0.997222,17.5287,0.328527,114.538,0.997222,124.281,0.659426,0.2088,0.957639,0.0111436,0.193542,0.205225,0.247313,0.968056,0.960417,0.925694,0.499306,0.485089,0.495763,0.501728,0.284865,0.256281,0.292328,0.300794,1.18586,0.70282,0.800101,1.06266,0.63374,0.438863,0.539098,0.618985,-9999,-9999
200507,29.753,1.0,472.601,289.599,1.0,391.173,1.0,30.706,1.0,88.854,1.0,2.319,1.0,2.272,1.0,0.33978810483870964,1.0,140.94742943548385,1.0,571.1124242607527,1.0,60.26851814516129,1.0,43.98372110215054,1.0,494.613440860215,1.0,375.29,0.997984,33.524,33.586,33.355,32.665,32.255,31.482,30.072,30.21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.451,4.15,5.734,5.807,6.121,5.216,4.939,4.344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.51386,0.999328,35.5187,0.995296,40.1973,0.711382,83.9022,0.999328,94.954,0.702058,1.09641,0.942204,0.0188537,1.03752,1.07467,1.14422,0.962366,0.950269,0.915323,1.4293,1.3506,1.39154,1.433,0.331951,0.249124,0.30614,0.32462,1.58704,1.46709,1.54726,1.69256,0.596411,0.492543,0.565025,0.63828,-9999,-9999
200508,25.889,1.0,440.668,252.572,1.0,388.503,1.0,16.893,1.0,89.22,1.0,5.474,1.0,1.792,1.0,0.2678139784946237,1.0,143.6932688172043,1.0,510.1662817876345,1.0,43.10656854838709,1.0,35.82875336021505,1.0,460.82627688172045,1.0,375.687,0.999328,28.221,28.425,28.343,28.261,28.083,27.969,27.828,28.134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.902,7.881,11.936,12.058,12.148,10.232,9.982,8.037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.60807,1.0,85.7312,0.997984,92.9294,0.785911,42.0241,0.999328,45.5525,0.581251,-0.0615139,0.911962,0.0327941,-0.231281,-0.0615139,0.0817713,0.946909,0.911962,0.884409,3.08455,2.9967,3.03935,3.07814,3.15863,2.83203,3.10642,3.20872,3.63132,3.25461,3.52561,3.7341,3.55046,3.3952,3.51328,3.60976,-9999,-9999
200509,26.353,1.0,386.725,239.741,1.0,367.753,1.0,24.509,1.0,89.059,1.0,0.034,1.0,2.272,1.0,0.3452569444444445,1.0,104.30291736111108,1.0,476.53274201388894,1.0,42.89363402777777,1.0,39.23275208333334,1.0,462.8011111111111,1.0,367.568,1.0,30.406,30.323,29.885,29.584,29.223,28.888,28.369,28.56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.67,2.103,6.038,7.337,8.111,7.173,8.453,7.931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.17316,1.0,52.5065,0.999306,55.2201,0.514437,42.6165,1.0,44.819,0.74056,-0.871224,0.944444,0.0255469,-1.00111,-0.90005,-0.76201,0.965972,0.953472,0.93125,2.20053,2.08131,2.18129,2.30039,3.08828,3.05359,3.0742,3.09967,2.14462,1.91281,1.99152,2.11321,3.0217,2.94662,2.9799,3.0134,-9999,-9999
200510,20.67,1.0,317.617,209.867,1.0,328.107,1.0,17.009,1.0,88.84,1.0,0.532,1.0,2.42,1.0,0.3828130376344086,1.0,73.38969442061313,0.9993279569892473,415.5866423387096,1.0,42.12832862903227,1.0,36.68524865591397,1.0,426.1902525165866,0.9993279569892473,368.972,1.0,24.695,24.899,25.205,25.913,25.86,26.227,26.653,26.802,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.907,3.501,5.847,6.391,6.92,5.88,6.361,5.827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.85862,1.0,30.8222,0.998656,30.1517,0.425956,46.1011,0.999328,45.0982,0.581794,-0.358333,0.955645,0.0123573,-0.41868,-0.381541,-0.3038,0.977151,0.964382,0.929435,1.29508,1.22293,1.28228,1.35128,1.67323,1.64031,1.65564,1.66595,1.46873,1.17231,1.3685,1.46873,1.63862,1.60952,1.66811,1.74509,-9999,-9999
200511,16.282,1.0,252.913,171.154,1.0,292.984,1.0,15.494,1.0,89.076,0.999306,0.008,1.0,2.244,0.999306,0.3365253368794326,0.9993055555555556,35.468772931442075,0.9986111111111111,340.14033275118203,0.9993055555555556,37.728824541962176,0.9993055555555556,31.439083569739957,0.9986111111111111,395.1913283096927,0.9986111111111111,368.94,1.0,19.591,19.736,20.284,21.317,21.399,22.089,23.128,23.112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.787,2.169,5.267,6.234,6.738,5.742,6.006,5.42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.0243,1.0,12.3397,1.0,12.0712,0.181659,35.4974,1.0,34.7251,0.804843,-0.220043,0.951389,0.00843245,-0.277014,-0.248906,-0.199446,0.986111,0.976389,0.935417,0.556128,0.521853,0.545535,0.640773,0.799162,0.794434,0.799162,0.826043,0.328756,0.328756,0.376429,0.506347,0.677874,0.698336,0.724751,0.787239,-9999,-9999
200512,11.913,0.998656,220.036,141.834,0.997984,282.655,0.998656,11.153,0.998656,89.154,0.997312,0.016,1.0,1.845,0.997312,0.26420489369501465,0.9973118279569891,27.915725378787883,0.9973118279569891,286.62248143328446,0.9973118279569891,33.22714143450636,0.9973118279569891,26.096049547898343,0.9973118279569891,368.8718413978495,0.9973118279569891,372.984,0.998656,14.211,14.285,14.834,15.909,16.096,17.032,18.622,18.601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.974,2.333,4.779,6.06,6.611,5.65,5.866,5.342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.70966,1.0,6.01263,0.99664,6.00173,0.128533,31.5376,0.997984,31.4804,0.560696,-0.0077447,0.951613,0.00500475,-0.0431423,-0.0154778,-0.0074419,0.978495,0.954973,0.901882,0.197499,0.173815,0.197499,0.231676,0.208423,0.215911,0.220693,0.237807,0.406872,0.181863,0.22831,0.310006,0.19682,0.213801,0.258692,0.328459,-9999,-9999
200601,11.893,1.0,236.319,165.98,1.0,274.992,1.0,11.992,1.0,89.151,1.0,0.016,1.0,2.494,1.0,0.36491518817204305,1.0,37.97209139784946,1.0,332.98954495967746,1.0,41.54437970430107,1.0,31.420137768817202,1.0,370.22049731182807,1.0,373.067,1.0,14.472,14.431,14.723,15.373,15.46,16.075,17.181,17.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.859,2.229,4.541,5.937,6.534,5.598,5.801,5.275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.55562,1.0,3.78405,1.0,3.67696,0.106708,40.3622,1.0,39.22,0.577694,0.352157,0.974462,0.00888375,0.28423,0.328084,0.381543,0.99328,0.985887,0.950269,0.540377,0.484392,0.53369,0.595507,0.206071,0.17993,0.193706,0.206071,0.0987733,0.0874792,0.0985694,0.154582,0.0106072,0.00392878,0.0106072,0.0796569,-9999,-9999
